postcode,invoeding,afname,"congestiemanagement invoeding","congestiemanagement afname"
1012HZ,0,2,0,0
1012JA,0,2,0,0
1012JB,0,2,0,0
1012JC,0,2,0,0
1012JD,0,2,0,0
1012JE,0,2,0,0
1012JG,0,2,0,0
1012JH,0,2,0,0
1012JJ,0,2,0,0
1012JK,0,2,0,0
1012JL,0,2,0,0
1012JM,0,2,0,0
1012JN,0,2,0,0
1012JP,0,2,0,0
1012JS,0,2,0,0
1012JT,0,2,0,0
1012JV,0,2,0,0
1012JW,0,2,0,0
1012JZ,0,2,0,0
1012KB,0,2,0,0
1012KC,0,2,0,0
1012KD,0,2,0,0
1012KE,0,2,0,0
1012KG,0,2,0,0
1012KH,0,1,0,0
1012KJ,0,2,0,0
1012KK,0,2,0,0
1012KL,0,2,0,0
1012KM,0,2,0,0
1012KN,0,2,0,0
1012KP,0,2,0,0
1012KR,0,2,0,0
1012KS,0,2,0,0
1012KT,0,2,0,0
1012KV,0,2,0,0
1012KW,0,2,0,0
1012KX,0,2,0,0
1012KZ,0,2,0,0
1012LA,0,2,0,0
1012LB,0,2,0,0
1012LC,0,2,0,0
1012LD,0,2,0,0
1012LE,0,2,0,0
1012LG,0,2,0,0
1012LH,0,2,0,0
1012LJ,0,2,0,0
1012LK,0,2,0,0
1012LL,0,2,0,0
1012LM,0,2,0,0
1012LN,0,2,0,0
1012LP,0,2,0,0
1012LR,0,2,0,0
1012LS,0,2,0,0
1012LT,0,2,0,0
1012LV,0,2,0,0
1012LW,0,2,0,0
1012LX,0,2,0,0
1012LZ,0,3,0,0
1012MA,0,3,0,0
1012MB,0,2,0,0
1012MC,0,2,0,0
1012MD,0,3,0,0
1012ME,0,2,0,0
1012MG,0,2,0,0
1012MH,0,2,0,0
1012MJ,0,2,0,0
1012MK,0,3,0,0
1012ML,0,3,0,0
1012MN,0,3,0,0
1012MP,0,2,0,0
1012MR,0,2,0,0
1012MS,0,3,0,0
1012MT,0,2,0,0
1012MV,0,2,0,0
1012MX,0,2,0,0
1012MZ,0,3,0,0
1012NA,0,3,0,0
1012NB,0,2,0,0
1012NC,0,2,0,0
1012ND,0,2,0,0
1012NE,0,3,0,0
1012NG,0,3,0,0
1012NH,0,3,0,0
1012NJ,0,2,0,0
1012NK,0,3,0,0
1012NL,0,2,0,0
1012NM,0,2,0,0
1012NN,0,2,0,0
1012NP,0,2,0,0
1012NR,0,2,0,0
1012NS,0,2,0,0
1012NT,0,2,0,0
1012NV,0,2,0,0
1012NW,0,2,0,0
1012NX,0,2,0,0
1012NZ,0,2,0,0
1012PA,0,2,0,0
1012PB,0,2,0,0
1012PC,0,2,0,0
1012PD,0,2,0,0
1012PE,0,2,0,0
1012PG,0,2,0,0
1012PH,0,2,0,0
1012PJ,0,2,0,0
1012PK,0,2,0,0
1012PL,0,2,0,0
1012PM,0,2,0,0
1012PN,0,2,0,0
1012PP,0,2,0,0
1012PR,0,2,0,0
1012PS,0,2,0,0
1012PT,0,3,0,0
1012PV,0,3,0,0
1012PW,0,3,0,0
1012PX,0,3,0,0
1012PZ,0,2,0,0
1012RA,0,2,0,0
1012RB,0,2,0,0
1012RC,0,2,0,0
1012RD,0,3,0,0
1012RE,0,3,0,0
1012RG,0,2,0,0
1012RH,0,3,0,0
1012RJ,0,3,0,0
1012RK,0,2,0,0
1012RL,0,2,0,0
1012RM,0,2,0,0
1012RN,0,2,0,0
1012RP,0,2,0,0
1012RR,0,2,0,0
1012RS,0,2,0,0
1012RT,0,2,0,0
1012RV,0,2,0,0
1012RW,0,2,0,0
1012RX,0,2,0,0
1012RZ,0,3,0,0
1012SB,0,2,0,0
1012SC,0,3,0,0
1012SE,0,3,0,0
1012SG,0,3,0,0
1012SH,0,3,0,0
1012SJ,0,2,0,0
1012SK,0,2,0,0
1012SL,0,3,0,0
1012SM,0,2,0,0
1012SN,0,3,0,0
1012SP,0,3,0,0
1012SR,0,3,0,0
1012ST,0,3,0,0
1012SV,0,2,0,0
1012SW,0,3,0,0
1012SX,0,3,0,0
1012SZ,0,3,0,0
1012TA,0,3,0,0
1012TB,0,3,0,0
1012TC,0,3,0,0
1012TD,0,2,0,0
1012TE,0,2,0,0
1012TG,0,2,0,0
1012TH,0,2,0,0
1012TJ,0,2,0,0
1012TK,0,3,0,0
1012TL,0,3,0,0
1012TM,0,2,0,0
1012TN,0,2,0,0
1012TP,0,2,0,0
1012TR,0,2,0,0
1012TS,0,3,0,0
1012TT,0,3,0,0
1012TV,0,3,0,0
1012TW,0,2,0,0
1012TX,0,2,0,0
1012TZ,0,2,0,0
1012VA,0,2,0,0
1012VB,0,2,0,0
1012VC,0,3,0,0
1012VD,0,2,0,0
1012VE,0,2,0,0
1012VG,0,2,0,0
1012VH,0,2,0,0
1012VJ,0,2,0,0
1012VK,0,2,0,0
1012VM,0,2,0,0
1012VN,0,2,0,0
1012VP,0,2,0,0
1012VR,0,2,0,0
1012VS,0,2,0,0
1012VT,0,2,0,0
1012VV,0,2,0,0
1012VW,0,2,0,0
1012VX,0,2,0,0
1012VZ,0,2,0,0
1012WB,0,2,0,0
1012WC,0,2,0,0
1012WE,0,2,0,0
1012WG,0,2,0,0
1012WH,0,2,0,0
1012WJ,0,2,0,0
1012WK,0,2,0,0
1012WL,0,2,0,0
1012WN,0,2,0,0
1012WP,0,2,0,0
1012WR,0,2,0,0
1012WS,0,2,0,0
1012WT,0,2,0,0
1012WV,0,2,0,0
1012WX,0,2,0,0
1012WZ,0,2,0,0
1012XA,0,2,0,0
1012XB,0,2,0,0
1012XC,0,2,0,0
1012XD,0,2,0,0
1012XE,0,2,0,0
1012XG,0,2,0,0
1012XH,0,2,0,0
1012XJ,0,2,0,0
1012XK,0,2,0,0
1012XL,0,2,0,0
1012XM,0,2,0,0
1012XN,0,2,0,0
1012XP,0,2,0,0
1012XR,0,2,0,0
1012XS,0,2,0,0
1012XT,0,2,0,0
1012XV,0,2,0,0
1012XW,0,2,0,0
1012XX,0,2,0,0
1012XZ,0,2,0,0
1012ZA,0,2,0,0
1012ZD,0,2,0,0
1012ZE,0,2,0,0
1012ZG,0,2,0,0
1012ZH,0,2,0,0
1012ZJ,0,2,0,0
1012ZK,0,2,0,0
1012ZL,0,2,0,0
1013AA,0,3,0,0
1013AB,0,3,0,0
1013AC,0,3,0,0
1013AD,0,3,0,0
1013AE,0,3,0,0
1013AG,0,3,0,0
1013AH,0,3,0,0
1013AJ,0,3,0,0
1013AK,0,3,0,0
1013AL,0,3,0,0
1013AM,0,3,0,0
1013AN,0,3,0,0
1013AP,0,3,0,0
1013AR,0,3,0,0
1013AS,0,3,0,0
1013AT,0,3,0,0
1013AV,0,3,0,0
1013AW,0,3,0,0
1013AX,0,3,0,0
1013AZ,0,3,0,0
1013BB,0,3,0,0
1013BC,0,3,0,0
1013BD,0,3,0,0
1013BE,0,3,0,0
1013BG,0,3,0,0
1013BH,0,3,0,0
1013BJ,0,3,0,0
1013BK,0,3,0,0
1013BL,0,3,0,0
1013BM,0,3,0,0
1013BN,0,3,0,0
1013BP,0,3,0,0
1013BR,0,3,0,0
1013BS,0,3,0,0
1013BT,0,3,0,0
1013BV,0,3,0,0
1013BW,0,3,0,0
1013BX,0,3,0,0
1013BZ,0,3,0,0
1013CA,0,3,0,0
1013CB,0,3,0,0
1013CC,0,3,0,0
1013CD,0,3,0,0
1013CE,0,3,0,0
1013CG,0,3,0,0
1013CH,0,3,0,0
1013CJ,0,3,0,0
1013CK,0,3,0,0
1013CL,0,3,0,0
1013CM,0,3,0,0
1013CN,0,3,0,0
1013CP,0,3,0,0
1013CR,0,3,0,0
1013CS,0,3,0,0
1013CT,0,3,0,0
1013CW,0,3,0,0
